State,Year,All income levels,Number under 200% Poverty,"Margin of
error (±)
(22)",Percent under 200% Poverty Level,"Margin of
error (±)
(22)2"
United States,2023,328191,90584,1184,27.6,0.4
Alabama,2023,4961,1792,159,36.1,3.3
Alaska,2023,712,190,23,26.7,3.1
Arizona,2023,7303,2048,189,28,2.6
Arkansas,2023,2981,1152,67,38.7,2.4
California,2023,38767,10869,475,28,1.2
Colorado,2023,5724,1183,191,20.7,3.3
Connecticut,2023,3553,871,110,24.5,3
Delaware,2023,996,285,31,28.6,3.1
District of Columbia,2023,650,158,17,24.3,2.6
Florida,2023,21648,6729,382,31.1,1.8
Georgia,2023,10665,3354,305,31.4,2.9
Hawaii,2023,1427,332,39,23.2,2.8
Idaho,2023,1905,470,41,24.7,2.1
Illinois,2023,12463,2958,252,23.7,2
Indiana,2023,6778,1850,172,27.3,2.6
Iowa,2023,3182,759,63,23.9,2.1
Kansas,2023,2891,653,108,22.6,3.7
Kentucky,2023,4459,1539,159,34.5,3.5
Louisiana,2023,4519,1586,122,35.1,2.7
Maine,2023,1354,299,53,22.1,3.7
Maryland,2023,6095,1153,165,18.9,2.7
Massachusetts,2023,6841,1476,146,21.6,2.1
Michigan,2023,9842,2660,242,27,2.5
Minnesota,2023,5532,1139,205,20.6,3.8
Mississippi,2023,2913,1181,79,40.6,2.8
Missouri,2023,6046,1692,192,28,3.2
Montana,2023,1114,295,30,26.5,2.7
Nebraska,2023,1970,441,66,22.4,3.5
Nevada,2023,3089,919,82,29.7,2.7
New Hampshire,2023,1390,247,34,17.8,2.4
New Jersey,2023,9220,2057,217,22.3,2.4
New Mexico,2023,2097,814,81,38.8,3.9
New York,2023,19353,5348,352,27.6,1.8
North Carolina,2023,10601,3222,208,30.4,1.9
North Dakota,2023,760,181,17,23.8,2.2
Ohio,2023,11740,3187,281,27.2,2.4
Oklahoma,2023,3904,1363,141,34.9,3.6
Oregon,2023,4220,854,117,20.2,2.6
Pennsylvania,2023,12643,3275,263,25.9,2
Rhode Island,2023,1087,263,36,24.2,3.3
South Carolina,2023,5214,1575,122,30.2,2.3
South Dakota,2023,884,203,21,22.9,2.4
Tennessee,2023,6958,2129,163,30.6,2.4
Texas,2023,29388,9163,425,31.2,1.4
Utah,2023,3333,720,90,21.6,2.7
Vermont,2023,631,141,16,22.3,2.6
Virginia,2023,8489,1977,178,23.3,2.1
Washington,2023,7670,1552,188,20.2,2.4
West Virginia,2023,1754,667,59,38,3.4
Wisconsin,2023,5910,1458,177,24.7,2.9
Wyoming,2023,568,154,23,27.1,4.1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
